artist_name,listeners,tag
Solomun & Stimming,44360,tech house
Ante Perry,29379,minimal
Ante Perry,29379,tech house
Smash TV,46907,minimal
Smash TV,46907,tech house
Nhar,23288,minimal
Nhar,23288,tech house
The Mole,28528,minimal
The Mole,28528,tech house
Nominal,18580,minimal
Matija,15541,minimal
Matija,15541,tech house
Elef,10495,deep house
Elef,10495,minimal
Elef,10495,tech house
Niko Schwind,31268,minimal
Niko Schwind,31268,tech house
Martin Landsky,47273,minimal
Martin Landsky,47273,tech house
Timmo,20047,minimal
Timmo,20047,tech house
Jesse Somfay,27210,minimal
Sutekh,29366,minimal
Wolf + Lamb,29456,deep house
Wolf + Lamb,29456,minimal
Wolf + Lamb,29456,house
Wolf + Lamb,29456,tech house
Namito,32642,minimal
Hector Couto,26679,minimal
Hector Couto,26679,techno
Hector Couto,26679,tech house
Marskye,6383,minimal
Marskye,6383,techno
Dominik Saltevski,18067,minimal
Dominik Saltevski,18067,techno
Komet,17944,minimal
Alex Niggemann,27978,minimal
Alex Niggemann,27978,tech house
marky,6199,minimal
marky,6199,techno
Alex Kenji,42355,minimal
Alex Kenji,42355,tech house
Stewart Walker,27023,minimal
Hobo,19737,minimal
Makebo,19414,deep house
Makebo,19414,minimal
Makebo,19414,house
Håkan Lidbo,30394,minimal
Håkan Lidbo,30394,tech house
Ilario Alicante,30459,minimal
Ilario Alicante,30459,tech house
Federleicht,30362,deep house
Federleicht,30362,minimal
Dan Bay,24808,minimal
Trentemřller,5480,minimal
Andre Crom,36726,minimal
Andre Crom,36726,tech house
Roy RosenfelD,15817,minimal
Roy RosenfelD,15817,house
Roy RosenfelD,15817,tech house
Jay Haze,31408,minimal
Jay Haze,31408,tech house
The Modernist,35659,minimal
The Modernist,35659,tech house
 ,24809,minimal
Mathias Schaffhäuser,45896,minimal
Barem,33668,minimal
Sebo K,39648,minimal
Sebo K,39648,tech house
Marcus Meinhardt,24492,minimal
Marcus Meinhardt,24492,tech house
Doctor Dru,27622,deep house
Doctor Dru,27622,minimal
Doctor Dru,27622,tech house
Tilman,19499,minimal
Tilman,19499,house
Tilman,19499,tech house
Mike Monday,33964,minimal
Mike Monday,33964,tech house
Bitz,8741,minimal
Bitz,8741,house
Oblast,7852,minimal
Oblast,7852,techno
Oblast,7852,tech house
Marc Marzenit,36914,minimal
David Hasert,19246,minimal
David Hasert,19246,techno
Rebolledo,17373,minimal
Andy Hart,20845,deep house
Andy Hart,20845,minimal
Devochka,16206,minimal
Devochka,16206,techno
Mark Alow,15361,deep house
Mark Alow,15361,minimal
JDG,21087,minimal
Basti Grub,28925,minimal
Basti Grub,28925,tech house
Kombinat 100,11758,minimal
Kombinat 100,11758,tech house
Ambivalent,30236,minimal
Hubble,12436,minimal
Jeff Samuel,34671,minimal
Sten,26400,minimal
Wighnomy Brothers,29786,minimal
Wighnomy Brothers,29786,tech house
Quarion,41547,deep house
Quarion,41547,minimal
Quarion,41547,tech house
Martin Eyerer,33105,minimal
Martin Eyerer,33105,tech house
Opto,15266,minimal
Repair,15141,minimal
Repair,15141,techno
Repair,15141,tech house
Ali Kuru,17709,minimal
Padre Tóxico,9416,minimal
Padre Tóxico,9416,techno
Padre Tóxico,9416,house
Marc Romboy vs. Stephan Bodzin,20230,minimal
Marc Romboy vs. Stephan Bodzin,20230,tech house
Onur Özer,35053,minimal
Onur Özer,35053,tech house
My My,30805,minimal
My My,30805,tech house
Oma Nata,25745,deep house
Oma Nata,25745,minimal
Oma Nata,25745,techno
Petre Inspirescu,10534,minimal
Petre Inspirescu,10534,tech house
Danton Eeprom,27468,minimal
Heinrichs & Hirtenfellner,27364,minimal
Heinrichs & Hirtenfellner,27364,tech house
Gunnar Stiller,26242,minimal
Enzo Siffredi,20740,minimal
Enzo Siffredi,20740,tech house
SRA,11797,minimal
Dario Zenker,14910,minimal
Dario Zenker,14910,tech house
Guy Mantzur,17950,minimal
Guy Mantzur,17950,tech house
Stephan Bodzin vs Marc Romboy,13579,minimal
Stephan Bodzin vs Marc Romboy,13579,techno
Stephan Bodzin vs Marc Romboy,13579,tech house
MOS,16718,minimal
MOS,16718,techno
MOS,16718,tech house
David K,31655,deep house
David K,31655,minimal
David K,31655,tech house
Alex Di Stefano,14980,minimal
Alex Di Stefano,14980,tech house
Pier Bucci,33592,minimal
Pier Bucci,33592,tech house
Siete Catorce,14835,minimal
Peace Division,31461,minimal
Peace Division,31461,tech house
Jon McCafferty,6265,minimal
Gabriel Boni,14044,minimal
Gabriel Boni,14044,techno
Sabb,23953,minimal
Sabb,23953,tech house
Someone Else,26786,minimal
Theorem,9631,minimal
Theorem,9631,tech house
Erly Tepshi,14445,minimal
Erly Tepshi,14445,techno
Monosleep,9595,minimal
LoSoul,28503,minimal
LoSoul,28503,tech house
Wareika,17996,minimal
Wareika,17996,tech house
Hug,30332,minimal
Dub Taylor,18862,deep house
Dub Taylor,18862,minimal
Dub Taylor,18862,tech house
Nicone,25914,minimal
Ferenc,30547,minimal
Hollen,16913,minimal
Hollen,16913,tech house
FRANKEY,20441,minimal
Broke,16174,minimal
Louderbach,14331,minimal
Rekorder,12694,minimal
So Inagawa,12120,minimal
Yuuki Matthews,15963,minimal
Cuartero,15511,deep house
Cuartero,15511,minimal
Cuartero,15511,tech house
Sosnowski,6751,minimal
Simon Baker,31634,minimal
Metope,27621,minimal
Vian,6748,minimal
Vian,6748,house
Akiko Kiyama,15988,minimal
Aleph-1,8500,minimal
Cabanne,26528,minimal
Daniel Stefanik,19161,minimal
Nadja Lind,11431,minimal
Harmonious Thelonious,17048,minimal
RNDM,10393,deep house
RNDM,10393,minimal
JPLS,15405,minimal
The Glitz,18528,minimal
The Glitz,18528,tech house
DJ Memo,12266,minimal
DJ Memo,12266,techno
Re.You,18044,minimal
Re.You,18044,tech house
Anton Kubikov,9986,minimal
Anton Kubikov,9986,tech house
Suntapes,12658,minimal
YAYA,15723,minimal
YAYA,15723,tech house
Mark Henning,19172,minimal
Mark Henning,19172,tech house
Lee Curtiss,28862,minimal
Lee Curtiss,28862,tech house
Hermanez,18650,minimal
Hermanez,18650,tech house
Leesa,6961,deep house
Leesa,6961,minimal
Johnny D,28449,minimal
Johnny D,28449,tech house
@MoStFeAr,7572,minimal
The Jellies,18086,minimal
javier segura,10524,minimal
Christopher von Deylen,6294,minimal
Alex Young,19793,minimal
Sven Laux,10419,minimal
Audision,20897,minimal
